651037,650933
568689,568816
517445,517479
441025,441009
517273,517280
56249,66388
164779,130978
317359,317360
246375,299118
853633,562067
944398,879881
396470,396476
696250,697211
639284,639394
496375,496643
35693,540653
122071,122086
235585,256503
610562,610402
905006,515123
405005,410413
453067,453035
766084,939687
655604,655533
270114,322530
496392,503369
588273,588161
107666,112098
683884,681849
542640,542638
368034,368158
431134,431139
558009,558138
685443,685441
486606,488633
717378,717407
405948,406697
462177,462150
266634,317396
300529,208024
45536,92749
84934,75678
877937,808189
764876,765076
541576,800993
730792,730782
573009,915413
792879,792887
475882,475864
802668,802615
8717,8863
348535,761814
202896,202888
32604,32601
322359,264714
730989,730910
944488,944494
785312,781040
228903,228888
731745,365791
28549,565112
521990,522011
744863,744849
28786,880874
869004,33015
911198,911232
76167,47050
187891,167624
673634,545078
70766,775764
793826,793819
511144,511162
649798,649817
610175,610119
261493,308343
125292,125281
323893,251262
341636,341628
47765,3375
404160,390008
769098,769172
644331,644338
924998,925019
792522,472984
500697,497879
360689,360716
108480,110235
408712,410540
67212,18094
768817,768852
126583,126581
871439,871459
476657,813201
892499,10994
30706,32237
923419,923434
56053,56046
13895,14261
313144,306584
431137,458229
